user_id,primary_affiliation,department
42dc6a8b-5c18-47ce-a0d2-ef74d9167eba,Staff,Enterprise Systems Grp
691c5313-8fe6-45dc-ba67-214faf3a49ad,Staff,Adv Sys and Serv
2297c115-80a8-4dfe-b546-55a4df6441ba,Staff,Infrastructure Group
58dceb4d-c722-498e-bbf0-1e8de054a638,Staff,Enterprise Systems Grp
7e62c56a-46c1-4c16-8531-134cce756c7f,Staff,Campus IT Support
ca1e7219-c2f3-4d9d-a94e-de5a946db51b,Staff,Rsch Comp
c2953e82-fa5c-4bc6-8473-2e61ad8b5d2a,Staff,Leadership Giving
ed94ed38-67c9-4ee3-a32e-cc2578695d67,Staff,Digital Online Lning
a1605b9b-3d51-47ef-a697-e62be7e3c2ca,Staff,Rsch Comp
b7d15800-ee58-47a1-a75a-23526c7f8378,Staff,Ofc of Communications
36321664-3cd2-4dd7-9afc-5b6afcafab36,Student,GR
5a860383-a183-4f69-9204-4ec662cf6bf4,Staff,CSV IT Systems
f8f5b8b6-6bf0-406d-8875-221426eb7f32,Staff,Thayer School
7afcfae9-c364-4f5a-8e43-c387285caaec,Staff,Chief Advancement Offc
ebf0c930-242e-474c-831e-2f72ea1b0837,Staff,CS Administration
6227e0e8-9111-42cf-88db-06d1fda2f9ea,Staff,Magnuson Center
f6875ef8-61f1-4f05-8b06-f8f0cd78a942,Staff,CSV IT Systems
6b8e1a88-d922-43de-b880-5fed6ac32615,Alum,24
a9f84213-3053-4447-b8bb-71c316e0d8f6,Student,GR
f853d8ab-499f-4063-91b4-905113da85b3,Student,GR
06159fe8-492d-470a-907a-364c67b97eff,Member,D-CAL
81e8c85b-036f-4a8c-ad9c-bd8fb6bf0dc6,Staff,A&S Finance Center
8a42fdc5-6100-4291-8c8f-db0229aa9e4a,Staff,Human Resources Operations
c2329402-6eca-416d-b72c-59498c31a219,Student,GR
b3b918e9-6b5d-49b5-b172-d9d7e91d31f8,ExEmployee,Lib-Feldberg
404fa169-49ea-42b7-bc73-c485475d75cf,Faculty,German Studies
2c8290b3-246f-4c41-8cd5-b23b85a12dd2,Staff,Provosts Office
842e3402-51f0-46ee-947f-66d9c5cd6198,Staff,Financial Reporting
24e96ed1-7778-4b87-a55e-f1f00b1ed8b6,Student,'25
92045608-4b85-4be8-a640-8f8f2b73209f,Staff,Dart College Fund
93cc1437-65c5-4af3-af64-5acf80000cac,Staff,Finance and Admin
fafbb8e8-c2a2-4055-a943-4498211d384e,Staff,Advancement Business Ops
e111f9c8-64cc-4559-8e3b-25a793930d87,Staff,Athletic Administration
d546fbf3-671b-4ef0-9c8c-644b839ef585,Staff,ADV MKT and ENG
edf5a7ec-7315-4b59-bb29-10f9d11fd915,Student,GR
8b2920bf-f818-45b1-ab26-b597b3be492c,Staff,Procurement Svcs
262880d2-6fe1-45d4-88fc-14cf2f2ba270,Staff,Development Shr Srvc
f347ab13-5d17-420e-9adf-a4321339c775,Student,TH
20f5151c-4732-4145-83e6-f233a5d73c0e,Staff,Campus IT Support
34fb2e3e-a674-43cd-abac-a91dab1468f6,Student,'25
a997fee8-0973-4a61-b496-7c9cee5b27d1,Student,GR
1218f5e8-8145-4889-ad84-502166d588e3,Staff,Conf & Events
149929bf-0957-44d4-8ac2-e2850aa827cf,Staff,Dart College Fund
f656f075-32cc-4dae-9db5-962f3f7306ad,Staff,Service Mgt
8b1bc7c2-2ec7-4188-834b-0a72a57c1c4d,Staff,Finance and Admin
49fc5363-85bd-4556-bfae-0e2f45ae1737,Faculty,French and Italian
dbfbd7e1-df1d-42e0-9bb2-853d6bc4140a,Staff,ITC Strategic Init
03786002-a393-4137-83e0-d15a9f4b0350,Staff,Application Infrastructure
aa23eba4-8b05-4e1e-936f-603acf6bf995,Staff,"Info, Tech & Consulting"
9437e7d4-76f5-4bfa-a45e-60fa11696e61,Staff,Adv Sys and Serv
258586b9-0a8e-4ac6-9690-9320e63bb82c,Student,'25
4256a543-44d4-4ef9-9620-8a52ad6ad628,Student,'26
791e1f64-9fc6-45dd-a24e-0731f2d60635,Staff,Campus IT Support
472cc9cc-e84a-4d72-9ba7-7d6d704c5513,Staff,Finance and Admin
d8b0c682-aa9d-4022-ac74-50d16928b43b,Staff,Rsch Comp
8a31e361-2a80-4810-a333-22fef98a13a4,Student,GR
1bf7c67e-fa06-4f95-b3d9-a5334628161d,Staff,Adv Data & Supt Svcs
494cee7c-04a6-4b62-88c3-c2fe876e1eb9,Staff,Analyst Services
d065043b-29e5-4b9a-be24-cbe63c7a93b4,Staff,Lib-Digital Strategies
25843309-5e3f-4d1c-8a70-32cb1d74b9d8,Staff,A&S Dev Office
6fb7a8c8-bd8c-488e-ad3c-fa857c5fbfd4,Staff,ITC Strategic Init
91a0cc84-841a-4f3a-a506-baa8b1447195,Staff,Recognition and Stew
d1f288b3-f17f-418f-a188-b0f164299b2e,Staff,Campus IT Support
1b1c3a1b-878f-43d2-9a2a-3240d1bd2803,Staff,Lib-DLTG
80561362-0a38-4173-ab1b-2aece24837d4,Faculty,Biochem Cell Biology
855b9209-1348-4cae-b059-71816f9d8706,Student,'28
875975f3-fd1a-4f81-bf68-b15ed29c95ab,Staff,Rsch Comp
51618e9e-4f83-4d12-8c7b-4462d55be799,Staff,Enterprise Systems Grp
d561dd14-d13a-438f-9dd1-76f76dbdf727,Staff,Network Svcs
4bc3f759-9ec1-4557-8e57-c26d8a6ed9d2,Staff,Dartmouth Institute
1a70ceb7-3bfb-4715-b7a1-a8d7ba4ad6a3,Staff,Adv Data & Supt Svcs
a3a5a448-1925-4c20-9353-3ea407d0417f,Staff,Enterprise Systems Grp
bd374041-7f25-4f30-a752-33ceb22c967b,Staff,Rsch Comp
0cbdfb0f-4245-455d-bdd4-8cc1b0b3a6b1,Staff,Adv Sys and Serv
7899096e-922a-4629-8241-068fd6d8007e,Staff,Thayer School
ad776649-7a09-4c36-b631-3eb1309b232d,Staff,Thayer School
99ee7d40-3ca8-47b4-a566-c72f59929493,Staff,Rsch Comp
47728d6f-e233-483b-9073-7d4d181f7416,Student,GR
24a511bd-b411-4447-a191-b6128cfbb3da,Faculty,Earth Sciences
