sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-23 02:30:00,,40.5,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.0,,,59.4,,,57.4,,85.4,,,360,,,,87.8,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 03:00:00,,41.0,56.0,,,,,,39.6,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,85.7,,,360,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 03:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,85.5,,,357,,,,87.8,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 04:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.6,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,85.6,,,375,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 04:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,85.7,,,360,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 05:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,85.6,,,366,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 05:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,85.7,,,392,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 06:00:00,,40.5,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,85.5,,,357,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 06:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,85.5,,,383,,,,88.0,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 07:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,85.5,,,381,,,,87.6,,,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 07:30:00,,41.0,55.5,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,85.3,,,380,,,,87.8,,,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 08:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,85.6,,,372,,,,88.0,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 08:30:00,,40.5,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,85.5,,,365,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 09:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,87.9,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 09:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,87.0,,,85.1,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 10:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,88.3,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 10:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,88.0,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 11:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,71.5,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 11:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,86.7,,,84.8,,,,87.6,,,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 12:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.9,,,58.0,,,59.9,,,57.4,,86.9,,,85.2,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 12:30:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 13:00:00,,41.0,56.0,,,,,,39.1,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,123,,,58.5,,,59.8,,,57.4,,86.9,,,85.0,,,,87.9,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 13:30:00,,41.0,56.0,,,,,,39.6,,,40.5,39.6,,57.1,,,60.5,,,42.1,,,71.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.1,,,,88.0,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 14:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,133,,,58.5,,,59.8,,,57.4,,87.0,,,85.3,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 14:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.9,,,58.5,,,59.9,,,57.4,,87.1,,,85.2,,,,88.6,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:00:00,,41.0,,,,39.5,,,39.5,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,138,,,58.5,,,59.8,,,57.3,,87.0,,,85.1,,,,88.0,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,86.9,,,85.0,,,,87.6,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 16:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,71.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.3,,,,88.8,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 16:30:00,,41.0,,,,39.5,,,39.5,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.3,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 17:00:00,,40.5,,,,39.5,,,39.6,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,88.2,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 17:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,87.0,,,85.2,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 18:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.6,,,58.5,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 18:30:00,,41.0,,,,39.5,,,39.5,,59.0,,40.1,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,87.0,,,85.4,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
