sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-23 03:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,93,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 04:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,94,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 05:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,92,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 06:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,90,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 07:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,90,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 08:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,89,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 09:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 10:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 11:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 12:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 13:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,58,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 14:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,58,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,38,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 16:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 17:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 18:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 19:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
