sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-23 03:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0.214,,,,0,,,0.00000700,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 04:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0.225,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 05:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0.196,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 06:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0.199,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 07:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0.183,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 08:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0.201,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 09:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 10:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0.00000400,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 11:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0.0000580,,,0,,,0,,,0,,0,,,0,,,,0,,,0.00000400,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 12:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0.00715,,,0,,,0,,,0,,0,,,0,,,,0,,,0.0000190,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 13:00:00,,0,0,,,,,,0,,,0,0,,0,,,0,,,0,,,0.00546,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 14:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00777,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 15:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00114,,,0,,,0,,,0,,0,,,0,,,,0,,,0.00201,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 16:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00273,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 17:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0.0000240,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 18:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 19:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 20:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0.000134,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 21:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.0102,,,0,,,0,,,0,,0,,,0,,,,0,,,0.0000650,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 22:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00457,,,0,,,0,,,0,,0,,,0,,,,0,,,0.00000600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 23:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 00:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 01:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 02:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 03:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 04:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 05:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 06:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 07:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 08:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00212,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 09:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 10:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.000948,,,0,,,0,,,0,,0,,,0,,,,0.0778,,,0.000605,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 11:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00753,,,0,,,0,,,0,,0,,,0,,,,0,,,0.000966,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 12:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00551,,,0,,,0,,,0,,0,,,0,,,,0,,,0.00000600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 13:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 14:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00481,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 15:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,0.00774,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 16:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00223,,,0,,,0,,,0,,0,,,0,,,,0,,,0.000671,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 17:00:00,,0,,,,0,,,0,,0,,0,,0,,,0,,,0,,,0.00321,,,0,,,0,,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
