sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 3","GPU 3","GPU 0"
2025-05-13 00:00:00,,0,4975,10135,,12113
2025-05-13 00:30:00,,0,4975,11657,,12113
2025-05-13 01:00:00,,0,4975,12619,,12113
2025-05-13 01:30:00,,0,4975,12619,,12113
2025-05-13 02:00:00,,0,4975,12619,,12113
2025-05-13 02:30:00,,0,4975,12619,,12113
2025-05-13 03:00:00,,0,4975,12619,,12113
2025-05-13 03:30:00,,0,4975,12619,,12113
2025-05-13 04:00:00,,0,4975,12619,,12113
2025-05-13 04:30:00,,0,4975,12619,,12113
2025-05-13 05:00:00,,0,4975,12619,,12113
2025-05-13 05:30:00,,0,4975,12619,,12113
2025-05-13 06:00:00,,0,4975,12619,,12113
2025-05-13 06:30:00,,0,4975,12619,,12113
2025-05-13 07:00:00,,0,4975,12619,,12113
2025-05-13 07:30:00,,0,4975,12619,,12113
2025-05-13 08:00:00,,0,4975,12619,,12113
2025-05-13 08:30:00,,0,4975,8757,,12113
2025-05-13 09:00:00,,0,4975,9141,,12113
2025-05-13 09:30:00,,0,4975,10991,,12113
2025-05-13 10:00:00,,0,4975,10991,,12113
2025-05-13 10:30:00,,0,4975,11461,,12113
2025-05-13 11:00:00,,0,4975,9811,,12113
2025-05-13 11:30:00,,0,4975,9895,,12113
2025-05-13 12:00:00,,0,4975,9273,,12113
2025-05-13 12:30:00,,0,4975,11385,,12113
2025-05-13 13:00:00,,0,4975,9013,,12113
2025-05-13 13:30:00,,0,4975,8821,,12123
2025-05-13 14:00:00,,0,4975,10395,,12123
2025-05-13 14:30:00,,0,4975,8915,,12123
2025-05-13 15:00:00,,0,4975,10483,,12123
2025-05-13 15:30:00,,0,4975,10293,,12123
2025-05-13 16:00:00,,0,4975,10207,,12123
2025-05-13 16:30:00,,0,4975,11151,,12123
2025-05-13 17:00:00,,0,4975,9567,,12123
2025-05-13 17:30:00,,0,4975,12305,,12123
2025-05-13 18:00:00,,0,4975,10127,,12123
2025-05-13 18:30:00,,0,4975,10825,,12123
2025-05-13 19:00:00,,0,4975,11205,,12123
2025-05-13 19:30:00,,0,4975,11259,,12123
2025-05-13 20:00:00,,0,4975,11259,,12123
2025-05-13 20:30:00,,0,4975,10335,,12123
2025-05-13 21:00:00,,0,4975,7501,,12123
2025-05-13 21:30:00,,0,4975,8345,,12123
2025-05-13 22:00:00,,0,4975,9417,,12123
2025-05-13 22:30:00,,0,4975,9861,,12123
2025-05-13 23:00:00,,0,4975,9769,,12123
2025-05-13 23:30:00,,0,4975,9069,,12123
2025-05-14 00:00:00,,0,4975,9109,,12123
2025-05-14 00:30:00,,0,4975,7675,,12123
2025-05-14 01:00:00,,0,4975,7909,,12123
2025-05-14 01:30:00,,0,4975,9049,,12123
2025-05-14 02:00:00,,0,4975,10757,,12123
2025-05-14 02:30:00,,0,4975,11759,,12123
2025-05-14 03:00:00,,0,4975,11759,,12123
2025-05-14 03:30:00,,0,4975,11759,,12123
2025-05-14 04:00:00,,0,4975,11759,,12123
2025-05-14 04:30:00,,0,4975,11759,,12123
2025-05-14 05:00:00,,0,4975,11759,,12123
2025-05-14 05:30:00,,0,4975,11759,,12123
2025-05-14 06:00:00,,0,4975,11759,,12123
2025-05-14 06:30:00,,0,4975,11759,,12123
2025-05-14 07:00:00,,0,4975,11759,,12123
2025-05-14 07:30:00,,0,4975,8157,,12123
2025-05-14 08:00:00,,0,4975,8597,,12123
2025-05-14 08:30:00,,0,4975,8677,,12123
2025-05-14 09:00:00,,0,4975,9129,,12123
2025-05-14 09:30:00,,0,4975,8577,,12123
2025-05-14 10:00:00,,0,4975,9893,,12123
2025-05-14 10:30:00,,0,4975,9043,,12123
2025-05-14 11:00:00,,0,4975,8211,,12123
2025-05-14 11:30:00,,0,4975,9459,,12123
2025-05-14 12:00:00,,0,4975,9901,,12123
2025-05-14 12:30:00,,0,4975,8549,,12123
2025-05-14 13:00:00,,0,4975,8629,,12123
2025-05-14 13:30:00,,0,4975,8171,,12123
2025-05-14 14:00:00,,0,4975,9601,,12123
2025-05-14 14:30:00,,0,4975,8217,,12123
2025-05-14 15:00:00,,0,4975,9687,,12123
2025-05-14 15:30:00,,0,4975,9053,,12123
2025-05-14 16:00:00,,0,4975,9075,,12123
2025-05-14 16:30:00,,0,4975,11507,,12123
2025-05-14 17:00:00,,0,4975,9677,,12123
2025-05-14 17:30:00,,0,4975,9765,,12123
2025-05-14 18:00:00,,0,4975,9811,,12123
2025-05-14 18:30:00,,0,4975,9609,,12123
2025-05-14 19:00:00,,0,4975,10527,,12123
2025-05-14 19:30:00,,0,4975,9823,,12123
2025-05-14 20:00:00,,0,4975,10533,,12123
2025-05-14 20:30:00,,0,4975,10501,,12123
2025-05-14 21:00:00,,0,4975,9319,,12123
2025-05-14 21:30:00,,0,4975,9639,,12123
2025-05-14 22:00:00,,0,4975,10291,,12123
2025-05-14 22:30:00,,0,4975,9519,,12123
2025-05-14 23:00:00,,0,4975,10107,,12123
2025-05-14 23:30:00,,0,4975,9347,,12123
2025-05-15 00:00:00,,0,4975,9347,,12123
2025-05-15 00:30:00,,0,4975,9347,,12123
2025-05-15 01:00:00,,0,4975,11173,,12123
2025-05-15 01:30:00,,0,4975,10135,,12123
2025-05-15 02:00:00,,0,4975,10137,,12123
2025-05-15 02:30:00,,0,4975,10217,,12123
2025-05-15 03:00:00,,0,4975,10217,,12123
2025-05-15 03:30:00,,0,4975,10217,,12123
2025-05-15 04:00:00,,0,4975,10217,,12123
2025-05-15 04:30:00,,0,4975,10217,,12123
2025-05-15 05:00:00,,0,4975,10217,,12123
2025-05-15 05:30:00,,0,4975,10217,,12123
2025-05-15 06:00:00,,0,4975,8341,,12123
2025-05-15 06:30:00,,0,4975,8859,,12123
2025-05-15 07:00:00,,0,4975,8859,,12123
2025-05-15 07:30:00,,0,4975,8859,,12123
2025-05-15 08:00:00,,0,4975,11385,,12123
2025-05-15 08:30:00,,0,4975,11385,,12123
2025-05-15 09:00:00,,0,4975,8437,,12123
2025-05-15 09:30:00,,0,4975,9149,,12123
2025-05-15 10:00:00,,0,4975,8345,,12123
2025-05-15 10:30:00,,0,4975,9461,,12123
2025-05-15 11:00:00,,0,4975,9061,,12123
2025-05-15 11:30:00,,0,4975,9649,,12123
2025-05-15 12:00:00,,0,4975,9257,,12123
2025-05-15 12:30:00,,0,4975,10391,,12123
2025-05-15 13:00:00,,0,4975,8429,,12123
