sep=,
"time","metric"," "
2025-05-13 00:00:00,Alum,54.4 K
2025-05-13 00:00:00,Faculty,36.3 Mil
2025-05-13 00:00:00,Member,24.1 K
2025-05-13 00:00:00,Student,1.12 Mil
2025-05-13 00:00:00,Unknown,26.7 K
2025-05-13 01:00:00,Alum,14.5 K
2025-05-13 01:00:00,Faculty,5.49 Mil
2025-05-13 01:00:00,Member,204 K
2025-05-13 01:00:00,Student,358 K
2025-05-13 01:00:00,Unknown,31.9 K
2025-05-13 02:00:00,Faculty,968 K
2025-05-13 02:00:00,Member,460 K
2025-05-13 02:00:00,Student,330 K
2025-05-13 02:00:00,Unknown,350
2025-05-13 03:00:00,Member,38.4 K
2025-05-13 03:00:00,Staff,4.93 K
2025-05-13 03:00:00,Student,453 K
2025-05-13 03:00:00,Unknown,65.7 K
2025-05-13 04:00:00,Member,103 K
2025-05-13 04:00:00,Student,570 K
2025-05-13 05:00:00,Member,218 K
2025-05-13 05:00:00,Student,510 K
2025-05-13 06:00:00,Faculty,173 K
2025-05-13 06:00:00,Member,35.4 K
2025-05-13 06:00:00,Student,452 K
2025-05-13 07:00:00,Alum,90.2 K
2025-05-13 07:00:00,Faculty,133 K
2025-05-13 07:00:00,Member,149 K
2025-05-13 07:00:00,Staff,35.3 K
2025-05-13 07:00:00,Student,649 K
2025-05-13 07:00:00,Unknown,20.2 K
2025-05-13 08:00:00,Faculty,2.67 K
2025-05-13 08:00:00,Member,165
2025-05-13 08:00:00,Staff,31.0 K
2025-05-13 08:00:00,Student,547 K
2025-05-13 08:00:00,Unknown,2.55 K
2025-05-13 09:00:00,Alum,6.93 K
2025-05-13 09:00:00,Faculty,62.1 K
2025-05-13 09:00:00,Member,79.7 K
2025-05-13 09:00:00,Staff,1.57 Mil
2025-05-13 09:00:00,Student,616 K
2025-05-13 09:00:00,Unknown,6.11 K
2025-05-13 10:00:00,Faculty,271 K
2025-05-13 10:00:00,Member,40.5 K
2025-05-13 10:00:00,Staff,1.86 Mil
2025-05-13 10:00:00,Student,1.19 Mil
2025-05-13 10:00:00,Unknown,75.0 K
