sep=,
"time","metric"," "
2025-05-13 00:00:00,anthropic.claude-3-7-sonnet-20250219,25.1 K
2025-05-13 00:00:00,google_genai.gemini-2.0-flash-001,20.0 Mil
2025-05-13 00:00:00,openai.gpt-4.1-mini-2025-04-14,17.1 Mil
2025-05-13 00:00:00,openai.o4-mini-2025-04-16,331 K
2025-05-13 01:00:00,anthropic.claude-3-7-sonnet-20250219,54.1 K
2025-05-13 01:00:00,openai.gpt-4.1-mini-2025-04-14,5.97 Mil
2025-05-13 01:00:00,openai.o4-mini-2025-04-16,73.8 K
2025-05-13 02:00:00,anthropic.claude-3-7-sonnet-20250219,41.2 K
2025-05-13 02:00:00,openai.gpt-4.1-2025-04-14,23.5 K
2025-05-13 02:00:00,openai.gpt-4.1-mini-2025-04-14,1.48 Mil
2025-05-13 02:00:00,openai.o4-mini-2025-04-16,213 K
2025-05-13 03:00:00,meta.llama-3-2-11b-vision-instruct,4.93 K
2025-05-13 03:00:00,openai.gpt-4.1-2025-04-14,4.72 K
2025-05-13 03:00:00,openai.gpt-4.1-mini-2025-04-14,280 K
2025-05-13 03:00:00,openai.o4-mini-2025-04-16,272 K
2025-05-13 04:00:00,openai.gpt-4.1-2025-04-14,99.5 K
2025-05-13 04:00:00,openai.gpt-4.1-mini-2025-04-14,469 K
2025-05-13 04:00:00,openai.o4-mini-2025-04-16,104 K
2025-05-13 05:00:00,openai.gpt-4.1-2025-04-14,272 K
2025-05-13 05:00:00,openai.gpt-4.1-mini-2025-04-14,455 K
2025-05-13 06:00:00,anthropic.claude-3-7-sonnet-20250219,30.7 K
2025-05-13 06:00:00,openai.gpt-4.1-2025-04-14,1.07 K
2025-05-13 06:00:00,openai.gpt-4.1-mini-2025-04-14,629 K
2025-05-13 07:00:00,anthropic.claude-3-5-haiku-20241022,1.61 K
2025-05-13 07:00:00,anthropic.claude-3-7-sonnet-20250219,84.9 K
2025-05-13 07:00:00,google_genai.gemini-2.0-flash-001,1.93 K
2025-05-13 07:00:00,openai.gpt-4.1-2025-04-14,431 K
2025-05-13 07:00:00,openai.gpt-4.1-mini-2025-04-14,513 K
2025-05-13 07:00:00,openai.o4-mini-2025-04-16,43.3 K
2025-05-13 08:00:00,anthropic.claude-3-5-haiku-20241022,981
2025-05-13 08:00:00,anthropic.claude-3-7-sonnet-20250219,21.4 K
2025-05-13 08:00:00,google_genai.gemini-2.0-flash-001,123
2025-05-13 08:00:00,meta.llama-3-2-11b-vision-instruct,7.72 K
2025-05-13 08:00:00,openai.gpt-4.1-2025-04-14,305 K
2025-05-13 08:00:00,openai.gpt-4.1-mini-2025-04-14,242 K
2025-05-13 08:00:00,openai.o4-mini-2025-04-16,6.53 K
2025-05-13 09:00:00,anthropic.claude-3-5-haiku-20241022,87.7 K
2025-05-13 09:00:00,anthropic.claude-3-7-sonnet-20250219,125 K
2025-05-13 09:00:00,google_genai.gemini-1.5-pro-002,31.6 K
2025-05-13 09:00:00,google_genai.gemini-2.0-flash-001,53
2025-05-13 09:00:00,meta.llama-3-2-11b-vision-instruct,21.0 K
2025-05-13 09:00:00,mistral.mistral-small-2503,330
2025-05-13 09:00:00,mistral.pixtral-large-2411,330
2025-05-13 09:00:00,openai.gpt-4.1-2025-04-14,715 K
2025-05-13 09:00:00,openai.gpt-4.1-mini-2025-04-14,1.36 Mil
2025-05-13 09:00:00,openai.o4-mini-2025-04-16,5.80 K
2025-05-13 10:00:00,anthropic.claude-3-5-haiku-20241022,91.8 K
2025-05-13 10:00:00,anthropic.claude-3-7-sonnet-20250219,406 K
2025-05-13 10:00:00,google_genai.gemini-1.5-pro-002,553
2025-05-13 10:00:00,google_genai.gemini-2.0-flash-001,207 K
2025-05-13 10:00:00,meta.llama-3-2-11b-vision-instruct,40.7 K
2025-05-13 10:00:00,mistral.mistral-small-2503,147
2025-05-13 10:00:00,mistral.pixtral-large-2411,181
2025-05-13 10:00:00,ollama.mistral:7b,2.51 K
2025-05-13 10:00:00,openai.gpt-4.1-2025-04-14,321 K
2025-05-13 10:00:00,openai.gpt-4.1-mini-2025-04-14,2.33 Mil
2025-05-13 10:00:00,openai.o4-mini-2025-04-16,32.4 K
2025-05-13 11:00:00,anthropic.claude-3-5-haiku-20241022,8.75 K
2025-05-13 11:00:00,anthropic.claude-3-7-sonnet-20250219,611 K
2025-05-13 11:00:00,google_genai.gemini-1.5-pro-002,2.21 K
2025-05-13 11:00:00,google_genai.gemini-2.0-flash-001,111 K
2025-05-13 11:00:00,meta.llama-3-2-11b-vision-instruct,104 K
2025-05-13 11:00:00,mistral.mistral-small-2503,501
2025-05-13 11:00:00,mistral.pixtral-large-2411,538
2025-05-13 11:00:00,ollama.mistral:7b,10.2 K
2025-05-13 11:00:00,openai.gpt-4.1-2025-04-14,438 K
2025-05-13 11:00:00,openai.gpt-4.1-mini-2025-04-14,3.94 Mil
2025-05-13 11:00:00,openai.o4-mini-2025-04-16,15.0 K
2025-05-13 12:00:00,anthropic.claude-3-5-haiku-20241022,885 K
2025-05-13 12:00:00,anthropic.claude-3-7-sonnet-20250219,912 K
2025-05-13 12:00:00,google_genai.gemini-1.5-pro-002,66.4 K
2025-05-13 12:00:00,google_genai.gemini-2.0-flash-001,3.64 K
2025-05-13 12:00:00,meta.llama-3-2-11b-vision-instruct,3.57 K
2025-05-13 12:00:00,mistral.mistral-small-2503,629
2025-05-13 12:00:00,mistral.pixtral-large-2411,655
2025-05-13 12:00:00,openai.gpt-4.1-2025-04-14,146 K
2025-05-13 12:00:00,openai.gpt-4.1-mini-2025-04-14,2.53 Mil
2025-05-13 12:00:00,openai.o4-mini-2025-04-16,178 K
2025-05-13 13:00:00,anthropic.claude-3-5-haiku-20241022,996 K
2025-05-13 13:00:00,anthropic.claude-3-7-sonnet-20250219,141 K
2025-05-13 13:00:00,google_genai.gemini-1.5-pro-002,5.79 K
2025-05-13 13:00:00,google_genai.gemini-2.0-flash-001,645 K
2025-05-13 13:00:00,meta.llama-3-2-11b-vision-instruct,4.54 K
2025-05-13 13:00:00,mistral.mistral-small-2503,1.48 K
2025-05-13 13:00:00,mistral.pixtral-large-2411,2.29 K
2025-05-13 13:00:00,ollama.mistral:7b,3.86 K
2025-05-13 13:00:00,openai.gpt-4.1-2025-04-14,61.4 K
2025-05-13 13:00:00,openai.gpt-4.1-mini-2025-04-14,1.84 Mil
2025-05-13 13:00:00,openai.o4-mini-2025-04-16,616 K
2025-05-13 14:00:00,anthropic.claude-3-5-haiku-20241022,13.6 K
2025-05-13 14:00:00,anthropic.claude-3-7-sonnet-20250219,323 K
2025-05-13 14:00:00,google_genai.gemini-2.0-flash-001,343 K
2025-05-13 14:00:00,ollama.mistral:7b,2.84 K
2025-05-13 14:00:00,openai.gpt-4.1-2025-04-14,545 K
2025-05-13 14:00:00,openai.gpt-4.1-mini-2025-04-14,2.47 Mil
